	Entry ID	Entry name	CAS Number	Entry description	WDID
125	carbon-black-airborne-unbound-particles-of-respirable-size	"Carbon black (airborne, unbound particles of respirable size)"	1333-86-4	"Carbon black (airborne, unbound particles of respirable size), CAS Number: 1333-86-4"	Q764245
245	dibromochloromethane	Dibromochloromethane	124-48-1	"Dibromochloromethane, CAS Number: 124-48-1"	Q411773
451	me-a-alpha-c-2-amino-3-methyl-9h-pyrido2-3-bindole	Me-A-alpha-C (2-Amino-3-methyl-9H-pyrido[2-3-b]indole)	68006-83-7	"Me-A-alpha-C (2-Amino-3-methyl-9H-pyrido[2-3-b]indole), CAS Number: 68006-83-7"	Q27155884
487	2-methyl-1-nitroanthraquinone-of-uncertain-purity	2-Methyl-1-nitroanthraquinone (of uncertain purity)	129-15-7	"2-Methyl-1-nitroanthraquinone (of uncertain purity), CAS Number: 129-15-7"	Q27155888
475	5-methoxypsoralen-with-ultraviolet-a-therapy	5-Methoxypsoralen with ultraviolet A therapy	484-20-8	"5-Methoxypsoralen with ultraviolet A therapy, CAS Number: 484-20-8"	Q414779
476	8-methoxypsoralen-with-ultraviolet-a-therapy	8-Methoxypsoralen with ultraviolet A therapy	298-81-7	"8-Methoxypsoralen with ultraviolet A therapy, CAS Number: 298-81-7"	Q408570
551	nitrilotriacetic-acid--trisodium-salt-monohydrate	Nitrilotriacetic Acid- Trisodium Salt Monohydrate	18662-53-8	"Nitrilotriacetic Acid- Trisodium Salt Monohydrate, CAS Number: 18662-53-8"	Q27281002
597	ochratoxin-a	Ochratoxin A	303-47-9	"Ochratoxin A, CAS Number: 303-47-9"	Q1885038
608	palygorskite-fibers->-5m-in-length	Palygorskite fibers (> 5m in length)	12174-11-7	"Palygorskite fibers (> 5m in length), CAS Number: 12174-11-7"	Q414065
618	perfluorooctane-sulfonate--pfos	Perfluorooctane Sulfonate  (PFOS)	2795-39-3	"Perfluorooctane Sulfonate  (PFOS), CAS Number: 2795-39-3"	Q27276914
659	propylene-glycol-butyl-ether-ester-of-24-d	"Propylene Glycol Butyl Ether Ester (of 2,4-D)"	1928-45-6	"Propylene Glycol Butyl Ether Ester (of 2,4-D), CAS Number: 1928-45-6"	Q27290643
663	propylthiouracil	Propylthiouracil	51-52-5	"Propylthiouracil, CAS Number: 51-52-5"	Q377342
791	xylenes-technical-mixture-of-m-o-p-isomers	"Xylenes (technical mixture of m, o, p-isomers)"	1330-20-7	"Xylenes (technical mixture of m, o, p-isomers), CAS Number: 1330-20-7"	Q208366
