	raw_drug_name	source_name	drug_UMLS_CUI	drug_ChEBI_ID	drug_cas#	predicate_raw	predicate_aggregate	predicate_string	indication_raw_string	umls_phen_cui	umls_phen_PT	drug_cas_wdid	drug_chebi_wdid	drug_cui_wdid	phen_cui_wdid
1614	Aluminum Hydroxide	NDFRT	C0002371	33130.0	21645-51-2	may_treat			Duodenal Ulcer	C0013295	Duodenal Ulcer	Q407125	Q407125	Q407125	Q18968110
1615	Aluminum Hydroxide	NDFRT	C0002371	33130.0	21645-51-2	may_treat			Dyspepsia	C0013395	Dyspepsia	Q407125	Q407125	Q407125	Q653971
1617	Aluminum Hydroxide	NDFRT	C0002371	33130.0	21645-51-2	may_treat			Gastroesophageal Reflux	C0017168	Gastroesophageal Reflux Disease	Q407125	Q407125	Q407125	Q223591
1618	Aluminum Hydroxide	NDFRT	C0002371	33130.0	21645-51-2	may_prevent&treat			Gastrointestinal Hemorrhage	C0017181	Gastrointestinal Hemorrhage	Q407125	Q407125	Q407125	Q1495657
1620	Aluminum Hydroxide	NDFRT	C0002371	33130.0	21645-51-2	may_treat			Stomach Ulcer	C0038358	Gastric Ulcer	Q407125	Q407125	Q407125	Q4003020
1755	azilsartan medoxomil	USAN_TC	C2698291	68845.0	863031-21-4	treatment			treatment of hypertension	C0020538	Hypertensive Disease	Q1087888	Q1087888	Q1087888	Q41861
1849	Sodium Bicarbonate	NDFRT	C0074722	32139.0	144-55-8	may_treat			Dyspepsia	C0013395	Dyspepsia	Q179731	Q179731	Q179731	Q653971
1850	Sodium Bicarbonate	NDFRT	C0074722	32139.0	144-55-8	may_treat			Gastroesophageal Reflux	C0017168	Gastroesophageal Reflux Disease	Q179731	Q179731	Q179731	Q223591
1851	Sodium Bicarbonate	NDFRT	C0074722	32139.0	144-55-8	may_treat			Heart Arrest	C0018790	Cardiac Arrest	Q179731	Q179731	Q179731	Q202837
1853	Sodium Bicarbonate	NDFRT	C0074722	32139.0	144-55-8	may_treat			Hyperkalemia	C0020461	Hyperkalemia	Q179731	Q179731	Q179731	Q605259
1854	Sodium Bicarbonate	NDFRT	C0074722	32139.0	144-55-8	may_treat			Overdose	C0029944	Drug Overdose	Q179731	Q179731	Q179731	Q3505252
1934	calcium acetate	NDFRT	C0717537	3310.0	62-54-4	may_treat			Hypocalcemia	C0020598	Hypocalcemia	Q409251	Q409251	Q409251	Q936382
1935	calcium acetate	NDFRT	C0717537	3310.0	62-54-4	may_treat			Kidney Failure, Chronic	C0022661	Kidney Failure, Chronic	Q409251	Q409251	Q409251	Q736715
1938	Calcium Carbonate	NDFRT	C0006681	3311.0	471-34-1	may_treat			Duodenal Ulcer	C0013295	Duodenal Ulcer	Q23767	Q23767	Q23767	Q18968110
1939	Calcium Carbonate	NDFRT	C0006681	3311.0	471-34-1	may_treat			Dyspepsia	C0013395	Dyspepsia	Q23767	Q23767	Q23767	Q653971
1941	Calcium Carbonate	NDFRT	C0006681	3311.0	471-34-1	may_treat			Gastroesophageal Reflux	C0017168	Gastroesophageal Reflux Disease	Q23767	Q23767	Q23767	Q223591
1942	Calcium Carbonate	NDFRT	C0006681	3311.0	471-34-1	may_prevent&treat			Gastrointestinal Hemorrhage	C0017181	Gastrointestinal Hemorrhage	Q23767	Q23767	Q23767	Q1495657
1944	Calcium Carbonate	NDFRT	C0006681	3311.0	471-34-1	may_treat			Hypocalcemia	C0020598	Hypocalcemia	Q23767	Q23767	Q23767	Q936382
1945	Calcium Carbonate	NDFRT	C0006681	3311.0	471-34-1	may_treat			Kidney Failure, Chronic	C0022661	Kidney Failure, Chronic	Q23767	Q23767	Q23767	Q736715
1948	Calcium Carbonate	NDFRT	C0006681	3311.0	471-34-1	may_treat			Stomach Ulcer	C0038358	Gastric Ulcer	Q23767	Q23767	Q23767	Q4003020
