,application_number,brand_name,generic_name,is_original_packager,manufacturer_name,nui,original_packager_product_ndc,package_ndc,pharm_class_cs,pharm_class_epc,pharm_class_moa,pharm_class_pe,product_ndc,product_type,route,rxcui,rxcui_brandname,rxcui_ingredient,spl_id,spl_set_id,substance_name,unii,upc
3318,ANDA077844,ABACAVIR,ABACAVIR SULFATE,[],AMERICAN HEALTH PACKAGING,[],['65862-073'],"['68084-021-21', '68084-021-11']",[],[],[],[],['68084-021'],HUMAN PRESCRIPTION DRUG,['ORAL'],['242679'],221017,190521,5CDBCF4A-4B9B-5549-E053-2991AA0A6550,01E46F58-8BDA-4FF3-AB21-57D5B540D440,['ABACAVIR SULFATE'],['J220T4J9Q2'],[]
5846,NDA021652,ABACAVIR AND LAMIVUDINE,ABACAVIR SULFATE AND LAMIVUDINE,[True],PRASCO LABORATORIES,"['N0000175459', 'N0000175656', 'N0000009947', 'N0000175462']",[],['66993-482-30'],['Nucleoside Analog [Chemical/Ingredient]'],"['Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]', 'Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]']",['Nucleoside Reverse Transcriptase Inhibitors [MoA]'],[],['66993-482'],HUMAN PRESCRIPTION DRUG,['ORAL'],['602393'],497184,614534,704ACC32-038D-4B75-907D-96E4F5839EA4,133490FC-26EB-4C92-A21D-52BE4C226B74,"['LAMIVUDINE', 'ABACAVIR SULFATE']","['J220T4J9Q2', '2T8Q726O95']",[]
6415,ANDA202912,"ABACAVIR, LAMIVUDINE AND ZIDOVUDINE","ABACAVIR , LAMIVUDINE AND ZIDOVUDINE",[True],"LUPIN PHARMACEUTICALS, INC.","['N0000175459', 'N0000175656', 'N0000009947', 'N0000175462']",[],"['68180-286-07', '68180-286-01', '68180-286-02']",['Nucleoside Analog [Chemical/Ingredient]'],"['Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]', 'Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]']",['Nucleoside Reverse Transcriptase Inhibitors [MoA]'],[],['68180-286'],HUMAN PRESCRIPTION DRUG,['ORAL'],['307650'],284904,284620,E1E30726-5522-4214-B103-A016A08FDFCB,F5F7C0D9-A247-4308-8269-32ACCC490EA6,"['LAMIVUDINE', 'ZIDOVUDINE', 'ABACAVIR SULFATE']","['J220T4J9Q2', '2T8Q726O95', '4B9XT59T7S']",[]
104,NDA021436,ABILIFY,ARIPIPRAZOLE,[],TYA PHARMACEUTICALS,['N0000175430'],['59148-009'],['64725-0009-1'],[],['Atypical Antipsychotic [EPC]'],[],[],['64725-0009'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['352308', '349490']",352393,89013,1C1E7873-4FBF-4033-94D7-9FD8416B828E,D0640208-44E9-4052-A56F-9A4CD9A5AAAB,['ARIPIPRAZOLE'],['82VFR53I78'],[]
3062,NDA022510,ABSTRAL,FENTANYL CITRATE,[True],"GALENA BIOPHARMA, INC.",[],[],"['57881-334-04', '57881-333-32', '57881-332-32', '57881-332-04', '57881-333-04', '57881-334-32', '57881-336-32', '57881-331-32', '57881-331-04', '57881-338-04', '57881-338-32', '57881-336-04']",[],[],[],[],"['57881-338', '57881-331', '57881-333', '57881-332', '57881-334', '57881-336']",HUMAN PRESCRIPTION DRUG,['SUBLINGUAL'],"['1053652', '1053651', '1053658', '1053657', '1053655', '1053654', '1053661', '1053663', '1053660', '1053647', '1053666', '1053664']",1053648,4337,621FD88B-B921-47A2-94BD-A778D6005353,F969E2BC-6297-4E29-89D3-A3685A2C7C6B,['FENTANYL CITRATE'],['MUN5LYG46H'],[]
4910,NDA022510,ABSTRAL FENTANYL ,FENTANYL CITRATE,[True],"SENTYNL THERAPEUTICS, INC.",[],[],"['42358-600-32', '42358-300-32', '42358-400-32', '42358-100-32', '42358-800-32', '42358-200-32']",[],[],[],[],"['42358-200', '42358-600', '42358-800', '42358-300', '42358-400', '42358-100']",HUMAN PRESCRIPTION DRUG,['SUBLINGUAL'],"['1053652', '1053651', '1053658', '1053657', '1053655', '1053654', '1053661', '1053663', '1053660', '1053647', '1053666', '1053664']",1053648,4337,463C068D-9E51-43C7-8D01-116947EFFB42,E60F00E9-2CF4-4C20-B570-1C2EA426C8C7,['FENTANYL CITRATE'],['MUN5LYG46H'],[]
3413,ANDA200142,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM ENTERIC-COATED,[True],MYLAN PHARMACEUTICALS INC.,[],[],['0378-6333-80'],[],[],[],[],['0378-6333'],HUMAN PRESCRIPTION DRUG,['ORAL'],['835726'],602959,152761,68E8BB7D-F8D1-464B-9471-78EA43732C99,75DDFD10-55B2-426E-BC74-3413CD0D7C94,['ACAMPROSATE CALCIUM'],['59375N1D0U'],['0303786333806']
6214,NDA050819,ACANYA,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,[True],VALENT PHARMACEUTICALS NORTH AMERICA,[],[],['13548-132-50'],[],[],[],[],['13548-132'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],"['885131', '885133']",810005,646781,F0ECC3CA-EE50-4CD7-87A0-BD931DC93604,3DCD2C96-72B1-4A9F-B65C-08198D63B7DF,"['CLINDAMYCIN PHOSPHATE', 'BENZOYL PEROXIDE']","['EH6D7113I8', 'W9WZN9A0GM']",[]
2744,ANDA077789,ACCLEAN CHLORHEXIDINE GLUCONATE 0.12% ORAL RINSE,CHLORHEXIDINE GLUCONATE 0.12% ORAL RINSE,[True],"HENRY SCHEIN, INC.",[],[],['0404-6720-04'],[],[],[],[],['0404-6720'],HUMAN PRESCRIPTION DRUG,['ORAL'],['834127'],219169,20791,3CF34D92-6F0A-4650-E054-00144FF8D46C,08C9D3DD-717B-0148-E054-00144FF8D46C,['CHLORHEXIDINE GLUCONATE'],['MOR84MUD8E'],[]
62,NDA020547,ACCOLATE,ZAFIRLUKAST,[True],PAR PHARMACEUTICAL INC.,"['N0000185504', 'N0000000083', 'N0000175777']",[],"['49884-011-02', '49884-010-02']",[],['Leukotriene Receptor Antagonist [EPC]'],"['Leukotriene Receptor Antagonists [MoA]', 'Cytochrome P450 2C9 Inhibitors [MoA]']",[],"['49884-010', '49884-011']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['211776', '313758', '261313', '199655']",135092,114970,47AD879F-77C0-4955-A5A1-783AAA19D59F,47AD879F-77C0-4955-A5A1-783AAA19D59F,['ZAFIRLUKAST'],['XZ629S5L50'],['0349884010027']
6058,NDA019885,ACCUPRIL,QUINAPRIL HYDROCHLORIDE,[],BRYANT RANCH PREPACK,[],['0071-0535'],['63629-1242-1'],[],[],[],[],['63629-1242'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['314203', '207895']",72210,35208,71F771AC-B917-494D-8737-682BA06A4D40,26614F0C-7187-4ACF-805F-9E5C2BDFFF7A,['QUINAPRIL HYDROCHLORIDE'],['33067B3N2M'],[]
